"server.crt: openBinaryFile: does not exist","TLSCert","TLS Certificate Incorrect","IOHKS-37","https://iohk.zendesk.com/hc/en-us/articles/360011407033"
"Error: connect ECONNREFUSED","WinReg","Certificate Issue Related Somehow to Windows Registry","IOHKS-65","https://iohk.zendesk.com/hc/en-us/articles/360011407033"
"open.lock: Locked by","openLock","open.lock File Created","IOHKS-39","https://iohk.zendesk.com/hc/en-us/articles/360011407333"
"Internal error (Couldn't get block header of wallet","WalletNotSync","Wallet #? is not syncable.","IOHKS-31","https://iohk.zendesk.com/hc/en-us/articles/360011407033"
"logException: CreateFile","PermCreateFile","logException: CreateFile permission denied (Access is denied.)","IOHKS-30","https://iohk.zendesk.com/hc/en-us/articles/360011407033"
"loadHeadersUpWhile returned empty list","ConnectLoadHeaders","Unknown connection issue","IOHKS-10","https://iohk.zendesk.com/hc/en-us/articles/360011321334"
"openBinaryFile: permission denied","PermDenied","openBinaryFile: permission denied (Permission denied)","IOHKS-7","https://iohk.zendesk.com/hc/en-us/articles/360011407033"
"IO error: Can not get size for","DBCorruptIO","c_rocksdb_open 2","IOHKS-47","https://iohk.zendesk.com/hc/en-us/articles/360009484874"
"Corruption: block checksum mismatch","BlockDataCorrupt","UnsuccessfulOperation c_rocksdb_write Corruption: block checksum mismatch","IOHKS-29","https://iohk.zendesk.com/hc/en-us/articles/360009484874"
"logException: Failed reading: safecopy","CannotConnectAfter","Cannot Connect After Release 1.3.0 unVersion = 59","IOHKS-78","https://iohk.zendesk.com/hc/en-us/articles/360011407033"
"Nothing] gave no results","CannotConnect","Cannot Connect After Release 1.3.0 NodeAddrDNS relays.cardano-mainnet.iohk.io Nothing","IOHKS-79","https://iohk.zendesk.com/hc/en-us/articles/360011407033"
"DBMalformed","DBError","Local block data is corrupted","IOHKS-41","https://iohk.zendesk.com/hc/en-us/articles/360009484874"
"Network.Socket.recvBuf: failed (No error)","ConnectionRefused","Node blocked by firewall","IOHKS-43","https://iohk.zendesk.com/hc/en-us/articles/360011321334"
"resource exhausted (No space left on device)","ShortStorage","No space left on device","IOHKS-45","https://iohk.zendesk.com/hc/en-us/articles/360010560353"
"signalProcess: permission denied","StaleLockFile","Open.lock file is corrupted","IOHKS-48","https://iohk.zendesk.com/hc/en-us/articles/360011407333"
"Network.Socket.recvBuf: resource vanished","ResourceVanished","resource vanished (Network is down)","IOHKS-12","https://iohk.zendesk.com/hc/en-us/articles/360011321334"
"useless for the following reason","TimeSync","Daedalus not warning the user about their PC's time not being synced.","IOHKS-8","https://iohk.zendesk.com/hc/en-us/articles/360010230873"
"Network.Socket.bind: resource busy","NetworkError","Daedalus cannot use port 8090","IOHKS-36","https://iohk.zendesk.com/hc/en-us/articles/360011321334"
"ZeroBalanceAfterUpdate","IndodaxIssue","IndodaxIssue","IOHKS-44","https://iohk.zendesk.com/hc/en-us/articles/noarticle"
